"1k-blocks","filesystem","date","hour","mean_usage"
154696528,"/dev/sdb",2018-09-12 19:00:00,19,11.939565094606
154696528,"/dev/sdb",2018-09-12 20:00:00,20,12.4093337081811
154696528,"/dev/sdb",2018-09-12 21:00:00,21,12.7920903954802
154696528,"/dev/sdb",2018-09-12 22:00:00,22,12.9282498593134
154696528,"/dev/sdb",2018-09-12 23:00:00,23,13.1554740406321
154696528,"/dev/sdb",2018-09-13 00:00:00,0,13.3187957231289
154696528,"/dev/sdb",2018-09-13 01:00:00,1,13.9410270880361
154696528,"/dev/sdb",2018-09-13 02:00:00,2,14.1409641950944
154696528,"/dev/sdb",2018-09-13 03:00:00,3,14.5484053062377
154696528,"/dev/sdb",2018-09-13 04:00:00,4,15.1944679650014
154696528,"/dev/sdb",2018-09-13 05:00:00,5,15.1583850931677
154696528,"/dev/sdb",2018-09-13 06:00:00,6,15.9200113058225
154696528,"/dev/sdb",2018-09-13 07:00:00,7,16.0033831406823
154696528,"/dev/sdb",2018-09-13 08:00:00,8,16.2104667609618
154696528,"/dev/sdb",2018-09-13 09:00:00,9,16.8270803949224
154696528,"/dev/sdb",2018-09-13 10:00:00,10,17.068946029952
154696528,"/dev/sdb",2018-09-13 11:00:00,11,17.2516516516517
